cell_type	rank	tf_symbol	differential	mean_signal_here	mean_signal_neighbors	neighbors
B_cells	10	ZXDB	-0.0027	0.0209	0.0236	T_cells,White_blood_cells,Lymphatic_vessel_endothelial_cells,Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells
Brain_capillary_endothelial_cells	1	ZNF337	0.0039	0.0294	0.0254	Endothelium,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Brain_capillary_endothelial_cells	2	CUX1	0.0033	0.0251	0.0218	Endothelium,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Brain_capillary_endothelial_cells	3	ZNF362	0.0027	0.0278	0.0251	Endothelium,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Brain_capillary_endothelial_cells	4	ZNF600	0.0026	0.0270	0.0245	Endothelium,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Brain_capillary_endothelial_cells	5	ZNF91	0.0024	0.0320	0.0296	Endothelium,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Brain_capillary_endothelial_cells	6	HEY1	0.0022	0.0255	0.0233	Endothelium,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Brain_capillary_endothelial_cells	7	HIC1	0.0021	0.0283	0.0261	Endothelium,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Brain_capillary_endothelial_cells	8	ETS1	0.0019	0.0284	0.0265	Endothelium,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Brain_capillary_endothelial_cells	9	FOXL2	0.0019	0.0295	0.0276	Endothelium,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Brain_capillary_endothelial_cells	10	USF2	0.0019	0.0263	0.0244	Endothelium,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
CNS_neurons	1	FOXR1	0.0513	0.0929	0.0416	Neural_crest_PNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
CNS_neurons	2	UNCX	0.0402	0.0843	0.0441	Neural_crest_PNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
CNS_neurons	3	MYCL	0.0394	0.0810	0.0415	Neural_crest_PNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
CNS_neurons	4	NPAS4	0.0370	0.0741	0.0370	Neural_crest_PNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
CNS_neurons	5	MYT1L	0.0328	0.0775	0.0447	Neural_crest_PNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
CNS_neurons	6	DLX2	0.0301	0.0720	0.0419	Neural_crest_PNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
CNS_neurons	7	ZFHX3	0.0289	0.0721	0.0432	Neural_crest_PNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
CNS_neurons	8	TFAP2B	0.0289	0.0716	0.0427	Neural_crest_PNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
CNS_neurons	9	DLX1	0.0286	0.0704	0.0418	Neural_crest_PNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
CNS_neurons	10	TP53	0.0286	0.0681	0.0396	Neural_crest_PNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Cardiomyocytes	1	NPAS4	0.0450	0.0790	0.0340	Skeletal_muscle_cells,Lung_and_airway,Epithelial_cells,Lymphatic_vessel_endothelial_cells,Endothelium
Cardiomyocytes	2	MAFG	0.0043	0.0411	0.0369	Skeletal_muscle_cells,Lung_and_airway,Epithelial_cells,Lymphatic_vessel_endothelial_cells,Endothelium
Cardiomyocytes	3	SNAI3	0.0034	0.0421	0.0387	Skeletal_muscle_cells,Lung_and_airway,Epithelial_cells,Lymphatic_vessel_endothelial_cells,Endothelium
Cardiomyocytes	4	TFEB	0.0034	0.0394	0.0360	Skeletal_muscle_cells,Lung_and_airway,Epithelial_cells,Lymphatic_vessel_endothelial_cells,Endothelium
Cardiomyocytes	5	NR4A1	0.0024	0.0393	0.0369	Skeletal_muscle_cells,Lung_and_airway,Epithelial_cells,Lymphatic_vessel_endothelial_cells,Endothelium
Cardiomyocytes	6	NR1D2	0.0020	0.0362	0.0342	Skeletal_muscle_cells,Lung_and_airway,Epithelial_cells,Lymphatic_vessel_endothelial_cells,Endothelium
Cardiomyocytes	7	CAMTA2	0.0017	0.0385	0.0368	Skeletal_muscle_cells,Lung_and_airway,Epithelial_cells,Lymphatic_vessel_endothelial_cells,Endothelium
Cardiomyocytes	8	NKX6-3	0.0013	0.0387	0.0374	Skeletal_muscle_cells,Lung_and_airway,Epithelial_cells,Lymphatic_vessel_endothelial_cells,Endothelium
Cardiomyocytes	9	FOXJ2	0.0012	0.0371	0.0359	Skeletal_muscle_cells,Lung_and_airway,Epithelial_cells,Lymphatic_vessel_endothelial_cells,Endothelium
Cardiomyocytes	10	NFIL3	0.0008	0.0347	0.0340	Skeletal_muscle_cells,Lung_and_airway,Epithelial_cells,Lymphatic_vessel_endothelial_cells,Endothelium
Corticofugal_neurons	1	FOXD4L5	0.0103	0.0460	0.0357	Olfactory_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Glia
Corticofugal_neurons	2	TBX19	0.0059	0.0418	0.0359	Olfactory_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Glia
Corticofugal_neurons	3	DACH1	0.0056	0.0424	0.0369	Olfactory_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Glia
Corticofugal_neurons	4	SETDB2	0.0052	0.0412	0.0360	Olfactory_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Glia
Corticofugal_neurons	5	PROP1	0.0048	0.0374	0.0326	Olfactory_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Glia
Corticofugal_neurons	6	ZNF655	0.0037	0.0360	0.0323	Olfactory_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Glia
Corticofugal_neurons	7	TIGD7	0.0034	0.0372	0.0339	Olfactory_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Glia
Corticofugal_neurons	8	EMX2	0.0033	0.0362	0.0328	Olfactory_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Glia
Corticofugal_neurons	9	ZNF75A	0.0033	0.0371	0.0338	Olfactory_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Glia
Corticofugal_neurons	10	ZNF841	0.0032	0.0391	0.0359	Olfactory_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Glia
Endocardial_cells	1	NFATC4	0.0123	0.0373	0.0250	Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium
Endocardial_cells	2	PROX1	0.0123	0.0336	0.0214	Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium
Endocardial_cells	3	FOXD4L6	0.0106	0.0336	0.0231	Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium
Endocardial_cells	4	CREB3L2	0.0105	0.0384	0.0279	Glomerular_endothelial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells,Brain_capillary_endothelial_cells,Endothelium
