cell_type	rank	tf_symbol	differential	mean_signal_here	mean_signal_neighbors	neighbors
Gut_epithelial_cells	9	EHF	0.0120	0.0477	0.0357	Hepatocytes,Lung_and_airway,Adipocyte_cells_Cyp2e1,Epithelial_cells,Erythroid_cells
Gut_epithelial_cells	10	FOXA3	0.0115	0.0496	0.0380	Hepatocytes,Lung_and_airway,Adipocyte_cells_Cyp2e1,Epithelial_cells,Erythroid_cells
Hepatocytes	1	HHEX	0.0236	0.0542	0.0306	Gut_epithelial_cells,Adipocyte_cells_Cyp2e1,Lung_and_airway,Adipocyte_cells,Lymphatic_vessel_endothelial_cells
Hepatocytes	2	HNF1A	0.0186	0.0566	0.0381	Gut_epithelial_cells,Adipocyte_cells_Cyp2e1,Lung_and_airway,Adipocyte_cells,Lymphatic_vessel_endothelial_cells
Hepatocytes	3	FOXA3	0.0136	0.0492	0.0356	Gut_epithelial_cells,Adipocyte_cells_Cyp2e1,Lung_and_airway,Adipocyte_cells,Lymphatic_vessel_endothelial_cells
Hepatocytes	4	MYPOP	0.0114	0.0469	0.0355	Gut_epithelial_cells,Adipocyte_cells_Cyp2e1,Lung_and_airway,Adipocyte_cells,Lymphatic_vessel_endothelial_cells
Hepatocytes	5	NR5A2	0.0110	0.0473	0.0363	Gut_epithelial_cells,Adipocyte_cells_Cyp2e1,Lung_and_airway,Adipocyte_cells,Lymphatic_vessel_endothelial_cells
Hepatocytes	6	ONECUT2	0.0108	0.0419	0.0311	Gut_epithelial_cells,Adipocyte_cells_Cyp2e1,Lung_and_airway,Adipocyte_cells,Lymphatic_vessel_endothelial_cells
Hepatocytes	7	ZNF732	0.0101	0.0457	0.0355	Gut_epithelial_cells,Adipocyte_cells_Cyp2e1,Lung_and_airway,Adipocyte_cells,Lymphatic_vessel_endothelial_cells
Hepatocytes	8	CDX2	0.0101	0.0432	0.0331	Gut_epithelial_cells,Adipocyte_cells_Cyp2e1,Lung_and_airway,Adipocyte_cells,Lymphatic_vessel_endothelial_cells
Hepatocytes	9	ZBTB40	0.0088	0.0417	0.0328	Gut_epithelial_cells,Adipocyte_cells_Cyp2e1,Lung_and_airway,Adipocyte_cells,Lymphatic_vessel_endothelial_cells
Hepatocytes	10	SEBOX	0.0086	0.0429	0.0343	Gut_epithelial_cells,Adipocyte_cells_Cyp2e1,Lung_and_airway,Adipocyte_cells,Lymphatic_vessel_endothelial_cells
Intermediate_neuronal_progenitors	1	NEUROD2	0.0360	0.0761	0.0402	Oligodendrocytes,CNS_neurons,Corticofugal_neurons,Neural_crest_PNS_neurons,Olfactory_neurons
Intermediate_neuronal_progenitors	2	ZNF347	0.0257	0.0667	0.0410	Oligodendrocytes,CNS_neurons,Corticofugal_neurons,Neural_crest_PNS_neurons,Olfactory_neurons
Intermediate_neuronal_progenitors	3	ZNF665	0.0237	0.0643	0.0407	Oligodendrocytes,CNS_neurons,Corticofugal_neurons,Neural_crest_PNS_neurons,Olfactory_neurons
Intermediate_neuronal_progenitors	4	CSRNP3	0.0233	0.0685	0.0452	Oligodendrocytes,CNS_neurons,Corticofugal_neurons,Neural_crest_PNS_neurons,Olfactory_neurons
Intermediate_neuronal_progenitors	5	NFIA	0.0184	0.0589	0.0405	Oligodendrocytes,CNS_neurons,Corticofugal_neurons,Neural_crest_PNS_neurons,Olfactory_neurons
Intermediate_neuronal_progenitors	6	ZFHX3	0.0184	0.0642	0.0458	Oligodendrocytes,CNS_neurons,Corticofugal_neurons,Neural_crest_PNS_neurons,Olfactory_neurons
Intermediate_neuronal_progenitors	7	NFE4	0.0181	0.0573	0.0391	Oligodendrocytes,CNS_neurons,Corticofugal_neurons,Neural_crest_PNS_neurons,Olfactory_neurons
Intermediate_neuronal_progenitors	8	EBF1	0.0170	0.0586	0.0416	Oligodendrocytes,CNS_neurons,Corticofugal_neurons,Neural_crest_PNS_neurons,Olfactory_neurons
Intermediate_neuronal_progenitors	9	MLXIP	0.0161	0.0526	0.0364	Oligodendrocytes,CNS_neurons,Corticofugal_neurons,Neural_crest_PNS_neurons,Olfactory_neurons
Intermediate_neuronal_progenitors	10	PRDM8	0.0161	0.0617	0.0457	Oligodendrocytes,CNS_neurons,Corticofugal_neurons,Neural_crest_PNS_neurons,Olfactory_neurons
Kidney	1	PAX2	0.0258	0.0666	0.0408	Mesoderm,Epithelial_cells,Lateral_plate_and_intermediate_mesoderm,Neuroectoderm_and_glia,Skeletal_muscle_cells
Kidney	2	ZNF732	0.0204	0.0588	0.0384	Mesoderm,Epithelial_cells,Lateral_plate_and_intermediate_mesoderm,Neuroectoderm_and_glia,Skeletal_muscle_cells
Kidney	3	ZNF729	0.0189	0.0544	0.0355	Mesoderm,Epithelial_cells,Lateral_plate_and_intermediate_mesoderm,Neuroectoderm_and_glia,Skeletal_muscle_cells
Kidney	4	HAND1	0.0159	0.0567	0.0408	Mesoderm,Epithelial_cells,Lateral_plate_and_intermediate_mesoderm,Neuroectoderm_and_glia,Skeletal_muscle_cells
Kidney	5	HOXB4	0.0128	0.0581	0.0453	Mesoderm,Epithelial_cells,Lateral_plate_and_intermediate_mesoderm,Neuroectoderm_and_glia,Skeletal_muscle_cells
Kidney	6	HOXA4	0.0124	0.0553	0.0429	Mesoderm,Epithelial_cells,Lateral_plate_and_intermediate_mesoderm,Neuroectoderm_and_glia,Skeletal_muscle_cells
Kidney	7	UNCX	0.0121	0.0531	0.0410	Mesoderm,Epithelial_cells,Lateral_plate_and_intermediate_mesoderm,Neuroectoderm_and_glia,Skeletal_muscle_cells
Kidney	8	HOXB5	0.0121	0.0565	0.0445	Mesoderm,Epithelial_cells,Lateral_plate_and_intermediate_mesoderm,Neuroectoderm_and_glia,Skeletal_muscle_cells
Kidney	9	SIX4	0.0118	0.0527	0.0409	Mesoderm,Epithelial_cells,Lateral_plate_and_intermediate_mesoderm,Neuroectoderm_and_glia,Skeletal_muscle_cells
Kidney	10	HOXA2	0.0115	0.0543	0.0429	Mesoderm,Epithelial_cells,Lateral_plate_and_intermediate_mesoderm,Neuroectoderm_and_glia,Skeletal_muscle_cells
Lateral_plate_and_intermediate_mesoderm	1	CREB3L1	0.0141	0.0560	0.0419	Mesoderm,Kidney,Skeletal_muscle_cells,Endothelium,Epithelial_cells
Lateral_plate_and_intermediate_mesoderm	2	ATF6B	0.0091	0.0501	0.0410	Mesoderm,Kidney,Skeletal_muscle_cells,Endothelium,Epithelial_cells
Lateral_plate_and_intermediate_mesoderm	3	CDX1	0.0085	0.0507	0.0422	Mesoderm,Kidney,Skeletal_muscle_cells,Endothelium,Epithelial_cells
Lateral_plate_and_intermediate_mesoderm	4	STAT6	0.0080	0.0492	0.0412	Mesoderm,Kidney,Skeletal_muscle_cells,Endothelium,Epithelial_cells
Lateral_plate_and_intermediate_mesoderm	5	NFATC4	0.0073	0.0479	0.0406	Mesoderm,Kidney,Skeletal_muscle_cells,Endothelium,Epithelial_cells
Lateral_plate_and_intermediate_mesoderm	6	FOXF2	0.0072	0.0476	0.0404	Mesoderm,Kidney,Skeletal_muscle_cells,Endothelium,Epithelial_cells
Lateral_plate_and_intermediate_mesoderm	7	DNMT1	0.0072	0.0507	0.0435	Mesoderm,Kidney,Skeletal_muscle_cells,Endothelium,Epithelial_cells
Lateral_plate_and_intermediate_mesoderm	8	AHDC1	0.0068	0.0471	0.0403	Mesoderm,Kidney,Skeletal_muscle_cells,Endothelium,Epithelial_cells
Lateral_plate_and_intermediate_mesoderm	9	TFAP4	0.0066	0.0510	0.0444	Mesoderm,Kidney,Skeletal_muscle_cells,Endothelium,Epithelial_cells
Lateral_plate_and_intermediate_mesoderm	10	HOXB1	0.0064	0.0485	0.0421	Mesoderm,Kidney,Skeletal_muscle_cells,Endothelium,Epithelial_cells
Liver_sinusoidal_endothelial_cells	1	HHEX	0.0029	0.0333	0.0304	Glomerular_endothelial_cells,Endocardial_cells,Brain_capillary_endothelial_cells,Endothelium,Lymphatic_vessel_endothelial_cells
Liver_sinusoidal_endothelial_cells	2	ZNF792	-0.0030	0.0322	0.0351	Glomerular_endothelial_cells,Endocardial_cells,Brain_capillary_endothelial_cells,Endothelium,Lymphatic_vessel_endothelial_cells
Liver_sinusoidal_endothelial_cells	3	ZNF384	-0.0041	0.0227	0.0268	Glomerular_endothelial_cells,Endocardial_cells,Brain_capillary_endothelial_cells,Endothelium,Lymphatic_vessel_endothelial_cells
Liver_sinusoidal_endothelial_cells	4	TGIF1	-0.0043	0.0210	0.0253	Glomerular_endothelial_cells,Endocardial_cells,Brain_capillary_endothelial_cells,Endothelium,Lymphatic_vessel_endothelial_cells
Liver_sinusoidal_endothelial_cells	5	TAL1	-0.0044	0.0292	0.0336	Glomerular_endothelial_cells,Endocardial_cells,Brain_capillary_endothelial_cells,Endothelium,Lymphatic_vessel_endothelial_cells
Liver_sinusoidal_endothelial_cells	6	ZNF77	-0.0049	0.0236	0.0285	Glomerular_endothelial_cells,Endocardial_cells,Brain_capillary_endothelial_cells,Endothelium,Lymphatic_vessel_endothelial_cells
Liver_sinusoidal_endothelial_cells	7	SOX7	-0.0051	0.0259	0.0309	Glomerular_endothelial_cells,Endocardial_cells,Brain_capillary_endothelial_cells,Endothelium,Lymphatic_vessel_endothelial_cells
Liver_sinusoidal_endothelial_cells	8	RFX8	-0.0053	0.0288	0.0341	Glomerular_endothelial_cells,Endocardial_cells,Brain_capillary_endothelial_cells,Endothelium,Lymphatic_vessel_endothelial_cells
Liver_sinusoidal_endothelial_cells	9	SNAI1	-0.0054	0.0280	0.0334	Glomerular_endothelial_cells,Endocardial_cells,Brain_capillary_endothelial_cells,Endothelium,Lymphatic_vessel_endothelial_cells
Liver_sinusoidal_endothelial_cells	10	FLI1	-0.0058	0.0233	0.0290	Glomerular_endothelial_cells,Endocardial_cells,Brain_capillary_endothelial_cells,Endothelium,Lymphatic_vessel_endothelial_cells
Lung_and_airway	1	MECOM	0.0165	0.0488	0.0323	Epithelial_cells,Gut_epithelial_cells,Cardiomyocytes,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1
Lung_and_airway	2	NKX2-2	0.0110	0.0421	0.0311	Epithelial_cells,Gut_epithelial_cells,Cardiomyocytes,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1
Lung_and_airway	3	OVOL2	0.0109	0.0484	0.0375	Epithelial_cells,Gut_epithelial_cells,Cardiomyocytes,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1
Lung_and_airway	4	ZNF766	0.0104	0.0431	0.0327	Epithelial_cells,Gut_epithelial_cells,Cardiomyocytes,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1
Lung_and_airway	5	OVOL1	0.0094	0.0511	0.0417	Epithelial_cells,Gut_epithelial_cells,Cardiomyocytes,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1
Lung_and_airway	6	ZBTB7B	0.0092	0.0484	0.0391	Epithelial_cells,Gut_epithelial_cells,Cardiomyocytes,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1
Lung_and_airway	7	ELF3	0.0083	0.0473	0.0390	Epithelial_cells,Gut_epithelial_cells,Cardiomyocytes,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1
Lung_and_airway	8	NR2F6	0.0079	0.0449	0.0371	Epithelial_cells,Gut_epithelial_cells,Cardiomyocytes,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1
Lung_and_airway	9	ZNF736	0.0076	0.0427	0.0351	Epithelial_cells,Gut_epithelial_cells,Cardiomyocytes,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1
Lung_and_airway	10	ZNF683	0.0075	0.0458	0.0383	Epithelial_cells,Gut_epithelial_cells,Cardiomyocytes,Lymphatic_vessel_endothelial_cells,Adipocyte_cells_Cyp2e1
Lymphatic_vessel_endothelial_cells	1	PROX1	0.0102	0.0319	0.0217	Endocardial_cells,Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endothelium,Liver_sinusoidal_endothelial_cells
Lymphatic_vessel_endothelial_cells	2	ETV4	0.0097	0.0337	0.0240	Endocardial_cells,Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endothelium,Liver_sinusoidal_endothelial_cells
Lymphatic_vessel_endothelial_cells	3	ZNF41	0.0075	0.0305	0.0230	Endocardial_cells,Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endothelium,Liver_sinusoidal_endothelial_cells
Lymphatic_vessel_endothelial_cells	4	ZNF708	0.0074	0.0296	0.0222	Endocardial_cells,Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endothelium,Liver_sinusoidal_endothelial_cells
Lymphatic_vessel_endothelial_cells	5	TBX1	0.0072	0.0334	0.0262	Endocardial_cells,Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endothelium,Liver_sinusoidal_endothelial_cells
Lymphatic_vessel_endothelial_cells	6	ZNF671	0.0071	0.0281	0.0209	Endocardial_cells,Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endothelium,Liver_sinusoidal_endothelial_cells
Lymphatic_vessel_endothelial_cells	7	ZNF776	0.0070	0.0282	0.0212	Endocardial_cells,Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endothelium,Liver_sinusoidal_endothelial_cells
Lymphatic_vessel_endothelial_cells	8	TERF2	0.0070	0.0305	0.0235	Endocardial_cells,Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endothelium,Liver_sinusoidal_endothelial_cells
Lymphatic_vessel_endothelial_cells	9	ZNF429	0.0069	0.0284	0.0214	Endocardial_cells,Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endothelium,Liver_sinusoidal_endothelial_cells
Lymphatic_vessel_endothelial_cells	10	ZNF141	0.0069	0.0286	0.0218	Endocardial_cells,Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endothelium,Liver_sinusoidal_endothelial_cells
Melanocyte_cells	1	SP7	-0.0037	0.0231	0.0268	Olfactory_ensheathing_cells,Glia,Oligodendrocytes,Corticofugal_neurons,Intermediate_neuronal_progenitors
Melanocyte_cells	2	SOX10	-0.0039	0.0351	0.0389	Olfactory_ensheathing_cells,Glia,Oligodendrocytes,Corticofugal_neurons,Intermediate_neuronal_progenitors
Melanocyte_cells	3	ELF1	-0.0048	0.0254	0.0302	Olfactory_ensheathing_cells,Glia,Oligodendrocytes,Corticofugal_neurons,Intermediate_neuronal_progenitors
Melanocyte_cells	4	TBX10	-0.0048	0.0206	0.0255	Olfactory_ensheathing_cells,Glia,Oligodendrocytes,Corticofugal_neurons,Intermediate_neuronal_progenitors
Melanocyte_cells	5	IRF4	-0.0051	0.0233	0.0284	Olfactory_ensheathing_cells,Glia,Oligodendrocytes,Corticofugal_neurons,Intermediate_neuronal_progenitors
Melanocyte_cells	6	GATAD2B	-0.0055	0.0247	0.0303	Olfactory_ensheathing_cells,Glia,Oligodendrocytes,Corticofugal_neurons,Intermediate_neuronal_progenitors
Melanocyte_cells	7	ZBED1	-0.0059	0.0211	0.0270	Olfactory_ensheathing_cells,Glia,Oligodendrocytes,Corticofugal_neurons,Intermediate_neuronal_progenitors
Melanocyte_cells	8	CREB3L2	-0.0059	0.0212	0.0271	Olfactory_ensheathing_cells,Glia,Oligodendrocytes,Corticofugal_neurons,Intermediate_neuronal_progenitors
Melanocyte_cells	9	ZBTB7A	-0.0060	0.0201	0.0261	Olfactory_ensheathing_cells,Glia,Oligodendrocytes,Corticofugal_neurons,Intermediate_neuronal_progenitors
Melanocyte_cells	10	MBNL2	-0.0061	0.0232	0.0293	Olfactory_ensheathing_cells,Glia,Oligodendrocytes,Corticofugal_neurons,Intermediate_neuronal_progenitors
Mesoderm	1	DNMT1	0.0179	0.0594	0.0416	Lateral_plate_and_intermediate_mesoderm,Kidney,Neuroectoderm_and_glia,Epithelial_cells,Skeletal_muscle_cells
Mesoderm	2	PRRX1	0.0140	0.0541	0.0401	Lateral_plate_and_intermediate_mesoderm,Kidney,Neuroectoderm_and_glia,Epithelial_cells,Skeletal_muscle_cells
Mesoderm	3	PRRX2	0.0139	0.0570	0.0431	Lateral_plate_and_intermediate_mesoderm,Kidney,Neuroectoderm_and_glia,Epithelial_cells,Skeletal_muscle_cells
Mesoderm	4	TFAP4	0.0126	0.0563	0.0437	Lateral_plate_and_intermediate_mesoderm,Kidney,Neuroectoderm_and_glia,Epithelial_cells,Skeletal_muscle_cells
Mesoderm	5	SRY	0.0119	0.0526	0.0407	Lateral_plate_and_intermediate_mesoderm,Kidney,Neuroectoderm_and_glia,Epithelial_cells,Skeletal_muscle_cells
Mesoderm	6	HOXC4	0.0102	0.0570	0.0468	Lateral_plate_and_intermediate_mesoderm,Kidney,Neuroectoderm_and_glia,Epithelial_cells,Skeletal_muscle_cells
Mesoderm	7	HOXC8	0.0101	0.0566	0.0465	Lateral_plate_and_intermediate_mesoderm,Kidney,Neuroectoderm_and_glia,Epithelial_cells,Skeletal_muscle_cells
Mesoderm	8	CDX1	0.0099	0.0522	0.0423	Lateral_plate_and_intermediate_mesoderm,Kidney,Neuroectoderm_and_glia,Epithelial_cells,Skeletal_muscle_cells
Mesoderm	9	HES1	0.0091	0.0520	0.0430	Lateral_plate_and_intermediate_mesoderm,Kidney,Neuroectoderm_and_glia,Epithelial_cells,Skeletal_muscle_cells
Mesoderm	10	HOXC5	0.0089	0.0559	0.0470	Lateral_plate_and_intermediate_mesoderm,Kidney,Neuroectoderm_and_glia,Epithelial_cells,Skeletal_muscle_cells
Neural_crest_PNS_neurons	1	SMAD1	0.0389	0.0762	0.0373	CNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Neural_crest_PNS_neurons	2	POU4F3	0.0377	0.0746	0.0369	CNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Neural_crest_PNS_neurons	3	TLX1	0.0370	0.0727	0.0357	CNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Neural_crest_PNS_neurons	4	NKX1-1	0.0360	0.0761	0.0401	CNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Neural_crest_PNS_neurons	5	MNX1	0.0360	0.0725	0.0365	CNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Neural_crest_PNS_neurons	6	ONECUT3	0.0357	0.0756	0.0399	CNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Neural_crest_PNS_neurons	7	DRGX	0.0357	0.0732	0.0375	CNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Neural_crest_PNS_neurons	8	LHX4	0.0356	0.0715	0.0359	CNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Neural_crest_PNS_neurons	9	DMBX1	0.0342	0.0710	0.0369	CNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Neural_crest_PNS_neurons	10	TCF20	0.0337	0.0705	0.0368	CNS_neurons,Eye,Neuroectoderm_and_glia,Intermediate_neuronal_progenitors,Oligodendrocytes
Neuroectoderm_and_glia	1	SOX21	0.0172	0.0626	0.0455	Eye,CNS_neurons,Neural_crest_PNS_neurons,Mesoderm,Kidney
Neuroectoderm_and_glia	2	PRDM12	0.0068	0.0522	0.0454	Eye,CNS_neurons,Neural_crest_PNS_neurons,Mesoderm,Kidney
Neuroectoderm_and_glia	3	SALL2	0.0060	0.0499	0.0440	Eye,CNS_neurons,Neural_crest_PNS_neurons,Mesoderm,Kidney
Neuroectoderm_and_glia	4	PAX3	0.0051	0.0502	0.0452	Eye,CNS_neurons,Neural_crest_PNS_neurons,Mesoderm,Kidney
Neuroectoderm_and_glia	5	NEUROG2	0.0047	0.0538	0.0491	Eye,CNS_neurons,Neural_crest_PNS_neurons,Mesoderm,Kidney
Neuroectoderm_and_glia	6	POU3F2	0.0046	0.0517	0.0471	Eye,CNS_neurons,Neural_crest_PNS_neurons,Mesoderm,Kidney
Neuroectoderm_and_glia	7	ASCL1	0.0045	0.0546	0.0500	Eye,CNS_neurons,Neural_crest_PNS_neurons,Mesoderm,Kidney
Neuroectoderm_and_glia	8	DBX1	0.0038	0.0490	0.0452	Eye,CNS_neurons,Neural_crest_PNS_neurons,Mesoderm,Kidney
Neuroectoderm_and_glia	9	RFX4	0.0037	0.0495	0.0458	Eye,CNS_neurons,Neural_crest_PNS_neurons,Mesoderm,Kidney
Neuroectoderm_and_glia	10	INSM1	0.0035	0.0499	0.0464	Eye,CNS_neurons,Neural_crest_PNS_neurons,Mesoderm,Kidney
Olfactory_ensheathing_cells	1	SOX10	0.0085	0.0454	0.0369	Melanocyte_cells,Glia,Oligodendrocytes,Intermediate_neuronal_progenitors,Corticofugal_neurons
Olfactory_ensheathing_cells	2	NFE2	-0.0010	0.0238	0.0249	Melanocyte_cells,Glia,Oligodendrocytes,Intermediate_neuronal_progenitors,Corticofugal_neurons
Olfactory_ensheathing_cells	3	HNF4A	-0.0011	0.0279	0.0290	Melanocyte_cells,Glia,Oligodendrocytes,Intermediate_neuronal_progenitors,Corticofugal_neurons
Olfactory_ensheathing_cells	4	LEF1	-0.0019	0.0275	0.0294	Melanocyte_cells,Glia,Oligodendrocytes,Intermediate_neuronal_progenitors,Corticofugal_neurons
Olfactory_ensheathing_cells	5	SP7	-0.0020	0.0245	0.0265	Melanocyte_cells,Glia,Oligodendrocytes,Intermediate_neuronal_progenitors,Corticofugal_neurons
Olfactory_ensheathing_cells	6	CENPX	-0.0036	0.0208	0.0244	Melanocyte_cells,Glia,Oligodendrocytes,Intermediate_neuronal_progenitors,Corticofugal_neurons
Olfactory_ensheathing_cells	7	BORCS8-MEF2B	-0.0036	0.0239	0.0275	Melanocyte_cells,Glia,Oligodendrocytes,Intermediate_neuronal_progenitors,Corticofugal_neurons
Olfactory_ensheathing_cells	8	MEF2B	-0.0036	0.0239	0.0275	Melanocyte_cells,Glia,Oligodendrocytes,Intermediate_neuronal_progenitors,Corticofugal_neurons
Olfactory_ensheathing_cells	9	DNMT1	-0.0039	0.0232	0.0271	Melanocyte_cells,Glia,Oligodendrocytes,Intermediate_neuronal_progenitors,Corticofugal_neurons
Olfactory_ensheathing_cells	10	RARG	-0.0040	0.0230	0.0269	Melanocyte_cells,Glia,Oligodendrocytes,Intermediate_neuronal_progenitors,Corticofugal_neurons
Olfactory_neurons	1	TBX19	0.0251	0.0629	0.0378	Corticofugal_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Neural_crest_PNS_neurons
Olfactory_neurons	2	PROP1	0.0237	0.0582	0.0345	Corticofugal_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Neural_crest_PNS_neurons
Olfactory_neurons	3	TIGD7	0.0200	0.0550	0.0350	Corticofugal_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Neural_crest_PNS_neurons
Olfactory_neurons	4	ZNF75A	0.0199	0.0549	0.0350	Corticofugal_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Neural_crest_PNS_neurons
Olfactory_neurons	5	FOXD4L5	0.0181	0.0572	0.0391	Corticofugal_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Neural_crest_PNS_neurons
Olfactory_neurons	6	SETDB2	0.0176	0.0560	0.0384	Corticofugal_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Neural_crest_PNS_neurons
Olfactory_neurons	7	ZNF117	0.0163	0.0511	0.0348	Corticofugal_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Neural_crest_PNS_neurons
Olfactory_neurons	8	ATF5	0.0152	0.0483	0.0331	Corticofugal_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Neural_crest_PNS_neurons
Olfactory_neurons	9	ZNF658	0.0147	0.0475	0.0328	Corticofugal_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Neural_crest_PNS_neurons
Olfactory_neurons	10	ZNF841	0.0139	0.0530	0.0390	Corticofugal_neurons,Intermediate_neuronal_progenitors,Oligodendrocytes,Melanocyte_cells,Neural_crest_PNS_neurons
Oligodendrocytes	1	NKX2-2	0.0197	0.0472	0.0274	Glia,Melanocyte_cells,Intermediate_neuronal_progenitors,Olfactory_ensheathing_cells,Corticofugal_neurons
Oligodendrocytes	2	OLIG1	0.0188	0.0462	0.0274	Glia,Melanocyte_cells,Intermediate_neuronal_progenitors,Olfactory_ensheathing_cells,Corticofugal_neurons
Oligodendrocytes	3	MYRF	0.0117	0.0360	0.0242	Glia,Melanocyte_cells,Intermediate_neuronal_progenitors,Olfactory_ensheathing_cells,Corticofugal_neurons
Oligodendrocytes	4	ZNF24	0.0092	0.0419	0.0326	Glia,Melanocyte_cells,Intermediate_neuronal_progenitors,Olfactory_ensheathing_cells,Corticofugal_neurons
Oligodendrocytes	5	ZNF469	0.0091	0.0366	0.0274	Glia,Melanocyte_cells,Intermediate_neuronal_progenitors,Olfactory_ensheathing_cells,Corticofugal_neurons
Oligodendrocytes	6	SOX2	0.0085	0.0379	0.0294	Glia,Melanocyte_cells,Intermediate_neuronal_progenitors,Olfactory_ensheathing_cells,Corticofugal_neurons
Oligodendrocytes	7	TCF7L2	0.0076	0.0355	0.0279	Glia,Melanocyte_cells,Intermediate_neuronal_progenitors,Olfactory_ensheathing_cells,Corticofugal_neurons
Oligodendrocytes	8	ZNF707	0.0071	0.0327	0.0256	Glia,Melanocyte_cells,Intermediate_neuronal_progenitors,Olfactory_ensheathing_cells,Corticofugal_neurons
Oligodendrocytes	9	ZNF365	0.0070	0.0358	0.0288	Glia,Melanocyte_cells,Intermediate_neuronal_progenitors,Olfactory_ensheathing_cells,Corticofugal_neurons
Oligodendrocytes	10	GSX1	0.0069	0.0347	0.0278	Glia,Melanocyte_cells,Intermediate_neuronal_progenitors,Olfactory_ensheathing_cells,Corticofugal_neurons
Skeletal_muscle_cells	1	MYOD1	0.0248	0.0644	0.0396	Cardiomyocytes,Lateral_plate_and_intermediate_mesoderm,Epithelial_cells,Mesoderm,Kidney
Skeletal_muscle_cells	2	ZXDA	0.0228	0.0601	0.0373	Cardiomyocytes,Lateral_plate_and_intermediate_mesoderm,Epithelial_cells,Mesoderm,Kidney
Skeletal_muscle_cells	3	HEYL	0.0180	0.0585	0.0404	Cardiomyocytes,Lateral_plate_and_intermediate_mesoderm,Epithelial_cells,Mesoderm,Kidney
Skeletal_muscle_cells	4	MSGN1	0.0169	0.0546	0.0376	Cardiomyocytes,Lateral_plate_and_intermediate_mesoderm,Epithelial_cells,Mesoderm,Kidney
Skeletal_muscle_cells	5	SOX8	0.0156	0.0550	0.0394	Cardiomyocytes,Lateral_plate_and_intermediate_mesoderm,Epithelial_cells,Mesoderm,Kidney
Skeletal_muscle_cells	6	PURB	0.0153	0.0532	0.0379	Cardiomyocytes,Lateral_plate_and_intermediate_mesoderm,Epithelial_cells,Mesoderm,Kidney
Skeletal_muscle_cells	7	ZNF48	0.0128	0.0521	0.0393	Cardiomyocytes,Lateral_plate_and_intermediate_mesoderm,Epithelial_cells,Mesoderm,Kidney
Skeletal_muscle_cells	8	SOHLH2	0.0126	0.0491	0.0365	Cardiomyocytes,Lateral_plate_and_intermediate_mesoderm,Epithelial_cells,Mesoderm,Kidney
