cell_type	rank	neighbor	pearson_r
Liver_sinusoidal_endothelial_cells	1	Glomerular_endothelial_cells	0.9373
Liver_sinusoidal_endothelial_cells	2	Endocardial_cells	0.8794
Liver_sinusoidal_endothelial_cells	3	Brain_capillary_endothelial_cells	0.8623
Liver_sinusoidal_endothelial_cells	4	Endothelium	0.8470
Liver_sinusoidal_endothelial_cells	5	Lymphatic_vessel_endothelial_cells	0.7553
Lung_and_airway	1	Epithelial_cells	0.7387
Lung_and_airway	2	Gut_epithelial_cells	0.5461
Lung_and_airway	3	Cardiomyocytes	0.4127
Lung_and_airway	4	Lymphatic_vessel_endothelial_cells	0.3985
Lung_and_airway	5	Adipocyte_cells_Cyp2e1	0.3957
Lymphatic_vessel_endothelial_cells	1	Endocardial_cells	0.8777
Lymphatic_vessel_endothelial_cells	2	Brain_capillary_endothelial_cells	0.8302
Lymphatic_vessel_endothelial_cells	3	Glomerular_endothelial_cells	0.8274
Lymphatic_vessel_endothelial_cells	4	Endothelium	0.7900
Lymphatic_vessel_endothelial_cells	5	Liver_sinusoidal_endothelial_cells	0.7553
Melanocyte_cells	1	Olfactory_ensheathing_cells	0.7939
Melanocyte_cells	2	Glia	0.7755
Melanocyte_cells	3	Oligodendrocytes	0.7335
Melanocyte_cells	4	Corticofugal_neurons	0.5016
Melanocyte_cells	5	Intermediate_neuronal_progenitors	0.4784
Mesoderm	1	Lateral_plate_and_intermediate_mesoderm	0.8028
Mesoderm	2	Kidney	0.6487
Mesoderm	3	Neuroectoderm_and_glia	0.4726
Mesoderm	4	Epithelial_cells	0.4107
Mesoderm	5	Skeletal_muscle_cells	0.3459
Neural_crest_PNS_neurons	1	CNS_neurons	0.8199
Neural_crest_PNS_neurons	2	Eye	0.6216
Neural_crest_PNS_neurons	3	Neuroectoderm_and_glia	0.5286
Neural_crest_PNS_neurons	4	Intermediate_neuronal_progenitors	0.5096
Neural_crest_PNS_neurons	5	Oligodendrocytes	0.3606
Neuroectoderm_and_glia	1	Eye	0.7832
Neuroectoderm_and_glia	2	CNS_neurons	0.6986
Neuroectoderm_and_glia	3	Neural_crest_PNS_neurons	0.5286
Neuroectoderm_and_glia	4	Mesoderm	0.4726
Neuroectoderm_and_glia	5	Kidney	0.4177
Olfactory_ensheathing_cells	1	Melanocyte_cells	0.7939
Olfactory_ensheathing_cells	2	Glia	0.7642
Olfactory_ensheathing_cells	3	Oligodendrocytes	0.5681
Olfactory_ensheathing_cells	4	Intermediate_neuronal_progenitors	0.2310
Olfactory_ensheathing_cells	5	Corticofugal_neurons	0.2202
Olfactory_neurons	1	Corticofugal_neurons	0.9661
Olfactory_neurons	2	Intermediate_neuronal_progenitors	0.4974
Olfactory_neurons	3	Oligodendrocytes	0.4560
Olfactory_neurons	4	Melanocyte_cells	0.3941
Olfactory_neurons	5	Neural_crest_PNS_neurons	0.2920
Oligodendrocytes	1	Glia	0.7501
Oligodendrocytes	2	Melanocyte_cells	0.7335
Oligodendrocytes	3	Intermediate_neuronal_progenitors	0.6899
Oligodendrocytes	4	Olfactory_ensheathing_cells	0.5681
Oligodendrocytes	5	Corticofugal_neurons	0.5249
Skeletal_muscle_cells	1	Cardiomyocytes	0.5332
Skeletal_muscle_cells	2	Lateral_plate_and_intermediate_mesoderm	0.4698
Skeletal_muscle_cells	3	Epithelial_cells	0.3916
Skeletal_muscle_cells	4	Mesoderm	0.3459
Skeletal_muscle_cells	5	Kidney	0.3104
T_cells	1	B_cells	0.8451
T_cells	2	White_blood_cells	0.5882
T_cells	3	Lymphatic_vessel_endothelial_cells	0.3150
T_cells	4	Adipocyte_cells_Cyp2e1	0.2836
T_cells	5	Adipocyte_cells	0.2779
White_blood_cells	1	B_cells	0.7227
White_blood_cells	2	T_cells	0.5882
White_blood_cells	3	Lymphatic_vessel_endothelial_cells	0.4608
White_blood_cells	4	Liver_sinusoidal_endothelial_cells	0.4145
White_blood_cells	5	Endocardial_cells	0.4111
