cell_type	rank	tf_symbol	rank_score	argmax_frac	mean_tau	mean_frac_in	mean_signal	n_species_with_data	n_species_total
White_blood_cells	1	ZNF695	0.0557	0.2667	0.5063	0.0557	0.0557	30	30
White_blood_cells	2	ZNF594	0.0537	0.4333	0.4776	0.0537	0.0537	30	30
White_blood_cells	3	ZNF91	0.0497	0.2333	0.5050	0.0497	0.0497	30	30
White_blood_cells	4	ZNF223	0.0492	0.1304	0.5259	0.0492	0.0492	23	23
White_blood_cells	5	SPI1	0.0488	0.3667	0.4195	0.0488	0.0488	30	30
White_blood_cells	6	CEBPA	0.0485	0.2333	0.4261	0.0485	0.0485	30	30
White_blood_cells	7	SP140L	0.0458	0.2333	0.4696	0.0458	0.0458	30	30
White_blood_cells	8	USF1	0.0452	0.0333	0.5024	0.0452	0.0452	30	30
White_blood_cells	9	IRF5	0.0448	0.1000	0.4388	0.0448	0.0448	30	30
White_blood_cells	10	PPARD	0.0441	0.0333	0.4146	0.0441	0.0441	30	30
